city_norm,edc_type,edc_first_report_year
WHITE OAK,B,1997
WHITE SETTLEMENT,B,1997
WHITEFACE,B,2003
WHITEHOUSE,B,2020
WHITESBORO,A&B,1999
WHITEWRIGHT,A&B,1998
WICHITA FALLS,A&B,1998
WILLIS,A&B,2013
WILLS POINT,A,1997
WILMER,A&B,2009
WINDCREST,B,1999
WINDTHORST,B,1997
WINFIELD,B,1997
WINNSBORO,B,1997
WINONA,B,2007
WOLFE CITY,B,2011
WOLFFORTH,B,2003
WORTHAM,A&B,1999
WYLIE,A&B,1997
YANTIS,B,2001
YOAKUM,B,1999
YORKTOWN,B,2004
